2020-04-22 11:20:59,608 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TricentisWebShop:Login:0.0.1-SNAPSHOT @ D:\Mohan\job\Course\Project\July\Login\pom.xml.
2020-04-22 11:21:01,992 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Login/src/main/java
2020-04-22 11:21:01,997 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Login/src/main/resources
2020-04-22 11:21:02,001 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Login/src/test/java
2020-04-22 11:21:02,001 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Login/src/test/resources
2020-04-22 11:21:05,575 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-22 11:21:05,705 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-04-22 11:21:05,708 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-22 11:21:05,710 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-04-22 11:30:17,253 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TricentisWebShop:Login:0.0.1-SNAPSHOT @ D:\Mohan\job\Course\Project\July\Login\pom.xml.
2020-04-22 11:30:18,100 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-22 11:30:18,116 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-04-22 11:30:18,120 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-22 11:30:18,123 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-04-22 11:30:19,904 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-22 11:30:20,017 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
